<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.02.09	00:00:00	1.20493	1.20511	1.20474	1.20508	180	0	3
2021.02.09	00:15:00	1.20508	1.20524	1.20489	1.20507	81	0	0
2021.02.09	00:30:00	1.20507	1.20511	1.20485	1.20485	343	0	8
2021.02.09	00:45:00	1.20485	1.20505	1.20482	1.20489	456	0	22
2021.02.09	01:00:00	1.20487	1.20518	1.20487	1.20501	256	0	1
2021.02.09	01:15:00	1.20500	1.20504	1.20472	1.20476	435	0	0
2021.02.09	01:30:00	1.20482	1.20510	1.20479	1.20506	453	0	0
2021.02.09	01:45:00	1.20506	1.20538	1.20504	1.20523	505	0	0
2021.02.09	02:00:00	1.20524	1.20550	1.20495	1.20539	885	0	0
2021.02.09	02:15:00	1.20540	1.20560	1.20535	1.20551	859	0	0
2021.02.09	02:30:00	1.20552	1.20583	1.20549	1.20567	737	0	0
2021.02.09	02:45:00	1.20568	1.20600	1.20548	1.20578	666	0	0
2021.02.09	03:00:00	1.20578	1.20608	1.20559	1.20563	770	0	0
2021.02.09	03:15:00	1.20563	1.20640	1.20561	1.20628	788	0	0
2021.02.09	03:30:00	1.20627	1.20635	1.20581	1.20596	681	0	0
2021.02.09	03:45:00	1.20596	1.20611	1.20591	1.20595	667	0	0
2021.02.09	04:00:00	1.20596	1.20722	1.20595	1.20716	947	0	0
2021.02.09	04:15:00	1.20716	1.20781	1.20697	1.20769	804	0	0
2021.02.09	04:30:00	1.20769	1.20800	1.20751	1.20757	665	0	0
2021.02.09	04:45:00	1.20757	1.20821	1.20755	1.20795	942	0	0
2021.02.09	05:00:00	1.20796	1.20799	1.20765	1.20788	622	0	0
2021.02.09	05:15:00	1.20789	1.20813	1.20778	1.20804	618	0	0
2021.02.09	05:30:00	1.20804	1.20808	1.20769	1.20781	566	0	0
2021.02.09	05:45:00	1.20782	1.20793	1.20759	1.20768	360	0	0
2021.02.09	06:00:00	1.20769	1.20784	1.20755	1.20774	348	0	0
2021.02.09	06:15:00	1.20774	1.20800	1.20764	1.20792	281	0	0
2021.02.09	06:30:00	1.20792	1.20800	1.20782	1.20791	281	0	0
2021.02.09	06:45:00	1.20793	1.20793	1.20755	1.20757	373	0	0
2021.02.09	07:00:00	1.20757	1.20801	1.20757	1.20799	381	0	0
2021.02.09	07:15:00	1.20799	1.20808	1.20780	1.20782	322	0	0
2021.02.09	07:30:00	1.20781	1.20790	1.20762	1.20782	391	0	0
2021.02.09	07:45:00	1.20782	1.20797	1.20774	1.20781	400	0	0
2021.02.09	08:00:00	1.20781	1.20811	1.20760	1.20809	387	0	0
2021.02.09	08:15:00	1.20808	1.20825	1.20765	1.20779	575	0	0
2021.02.09	08:30:00	1.20778	1.20810	1.20756	1.20797	505	0	0
2021.02.09	08:45:00	1.20798	1.20802	1.20744	1.20770	506	0	0
2021.02.09	09:00:00	1.20773	1.20815	1.20766	1.20806	787	0	0
2021.02.09	09:15:00	1.20805	1.20869	1.20798	1.20824	1147	0	0
2021.02.09	09:30:00	1.20824	1.20836	1.20793	1.20807	827	0	0
2021.02.09	09:45:00	1.20807	1.20839	1.20788	1.20811	997	0	0
2021.02.09	10:00:00	1.20812	1.20855	1.20780	1.20801	1470	0	0
2021.02.09	10:15:00	1.20800	1.20812	1.20674	1.20685	1113	0	0
2021.02.09	10:30:00	1.20685	1.20866	1.20685	1.20860	957	0	0
2021.02.09	10:45:00	1.20860	1.20975	1.20858	1.20975	1594	0	0
2021.02.09	11:00:00	1.20974	1.21035	1.20947	1.21011	1429	0	0
2021.02.09	11:15:00	1.21012	1.21066	1.20975	1.21007	1410	0	0
2021.02.09	11:30:00	1.21008	1.21121	1.21007	1.21069	1424	0	0
2021.02.09	11:45:00	1.21068	1.21165	1.21053	1.21096	1095	0	0
2021.02.09	12:00:00	1.21096	1.21108	1.21064	1.21065	983	0	0
2021.02.09	12:15:00	1.21066	1.21074	1.21030	1.21046	698	0	0
2021.02.09	12:30:00	1.21047	1.21132	1.21046	1.21093	1029	0	0
2021.02.09	12:45:00	1.21093	1.21119	1.21038	1.21041	1054	0	0
2021.02.09	13:00:00	1.21041	1.21053	1.20978	1.20993	1022	0	0
2021.02.09	13:15:00	1.20993	1.21032	1.20979	1.21002	647	0	0
2021.02.09	13:30:00	1.21000	1.21064	1.21000	1.21060	571	0	0
2021.02.09	13:45:00	1.21060	1.21071	1.21037	1.21053	620	0	0
2021.02.09	14:00:00	1.21051	1.21061	1.20997	1.21022	751	0	0
2021.02.09	14:15:00	1.21023	1.21067	1.21013	1.21039	600	0	0
2021.02.09	14:30:00	1.21035	1.21064	1.21000	1.21017	779	0	0
2021.02.09	14:45:00	1.21016	1.21027	1.20980	1.20991	606	0	0
2021.02.09	15:00:00	1.20991	1.21057	1.20968	1.21053	978	0	0
2021.02.09	15:15:00	1.21053	1.21056	1.20956	1.20975	826	0	0
2021.02.09	15:30:00	1.20974	1.20991	1.20901	1.20956	865	0	0
2021.02.09	15:45:00	1.20956	1.21027	1.20953	1.21017	743	0	0
2021.02.09	16:00:00	1.21019	1.21019	1.20919	1.20952	712	0	0
2021.02.09	16:15:00	1.20952	1.21014	1.20945	1.20981	718	0	0
2021.02.09	16:30:00	1.20981	1.21034	1.20904	1.20975	1572	0	0
2021.02.09	16:45:00	1.20975	1.21020	1.20900	1.20913	1267	0	0
2021.02.09	17:00:00	1.20913	1.20984	1.20886	1.20969	1199	0	0
2021.02.09	17:15:00	1.20969	1.21016	1.20928	1.20971	867	0	0
2021.02.09	17:30:00	1.20973	1.20987	1.20931	1.20982	844	0	0
2021.02.09	17:45:00	1.20982	1.21035	1.20943	1.20978	1044	0	0
2021.02.09	18:00:00	1.20978	1.20995	1.20934	1.20943	722	0	0
2021.02.09	18:15:00	1.20944	1.20968	1.20923	1.20954	651	0	0
2021.02.09	18:30:00	1.20956	1.21015	1.20953	1.21005	479	0	0
2021.02.09	18:45:00	1.21005	1.21064	1.20991	1.21049	532	0	0
2021.02.09	19:00:00	1.21049	1.21058	1.21033	1.21046	475	0	0
2021.02.09	19:15:00	1.21046	1.21091	1.21035	1.21057	420	0	0
2021.02.09	19:30:00	1.21057	1.21095	1.21038	1.21090	366	0	0
2021.02.09	19:45:00	1.21090	1.21090	1.21042	1.21054	496	0	0
2021.02.09	20:00:00	1.21054	1.21079	1.21023	1.21046	340	0	0
2021.02.09	20:15:00	1.21046	1.21052	1.21032	1.21046	219	0	0
2021.02.09	20:30:00	1.21046	1.21049	1.21021	1.21037	290	0	0
2021.02.09	20:45:00	1.21038	1.21059	1.21038	1.21053	319	0	0
2021.02.09	21:00:00	1.21053	1.21086	1.21053	1.21078	281	0	0
2021.02.09	21:15:00	1.21078	1.21143	1.21072	1.21143	530	0	0
2021.02.09	21:30:00	1.21141	1.21204	1.21130	1.21184	686	0	0
2021.02.09	21:45:00	1.21183	1.21209	1.21153	1.21187	768	0	0
2021.02.09	22:00:00	1.21187	1.21194	1.21168	1.21193	460	0	0
2021.02.09	22:15:00	1.21192	1.21203	1.21160	1.21177	557	0	0
2021.02.09	22:30:00	1.21176	1.21197	1.21168	1.21188	309	0	0
2021.02.09	22:45:00	1.21188	1.21192	1.21160	1.21168	385	0	0
2021.02.09	23:00:00	1.21170	1.21184	1.21146	1.21180	394	0	0
2021.02.09	23:15:00	1.21180	1.21194	1.21172	1.21193	196	0	0
2021.02.09	23:30:00	1.21193	1.21194	1.21170	1.21186	244	0	0
2021.02.09	23:45:00	1.21186	1.21221	1.21172	1.21174	358	0	0
2021.02.10	00:00:00	1.21173	1.21197	1.21160	1.21188	157	0	5
2021.02.10	00:15:00	1.21182	1.21188	1.21158	1.21168	174	0	1
2021.02.10	00:30:00	1.21163	1.21185	1.21160	1.21170	207	0	4
2021.02.10	00:45:00	1.21171	1.21186	1.21156	1.21186	326	0	11
2021.02.10	01:00:00	1.21187	1.21188	1.21157	1.21168	290	0	1
2021.02.10	01:15:00	1.21167	1.21188	1.21162	1.21162	180	0	0
2021.02.10	01:30:00	1.21167	1.21192	1.21164	1.21175	196	0	0
2021.02.10	01:45:00	1.21175	1.21182	1.21156	1.21162	164	0	0
2021.02.10	02:00:00	1.21165	1.21171	1.21139	1.21159	342	0	0
2021.02.10	02:15:00	1.21159	1.21169	1.21148	1.21153	250	0	0
2021.02.10	02:30:00	1.21153	1.21160	1.21124	1.21125	224	0	0
