<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.02.09	00:00:00	1.20493	1.20494	1.20474	1.20494	30	0	22
2021.02.09	00:05:00	1.20494	1.20504	1.20487	1.20499	100	0	22
2021.02.09	00:10:00	1.20499	1.20511	1.20495	1.20508	50	0	3
2021.02.09	00:15:00	1.20508	1.20524	1.20489	1.20493	43	0	0
2021.02.09	00:20:00	1.20492	1.20523	1.20492	1.20510	28	0	8
2021.02.09	00:25:00	1.20507	1.20508	1.20506	1.20507	10	0	19
2021.02.09	00:30:00	1.20507	1.20511	1.20494	1.20499	102	0	8
2021.02.09	00:35:00	1.20498	1.20509	1.20487	1.20509	113	0	17
2021.02.09	00:40:00	1.20506	1.20510	1.20485	1.20485	128	0	16
2021.02.09	00:45:00	1.20485	1.20500	1.20482	1.20491	139	0	22
2021.02.09	00:50:00	1.20490	1.20498	1.20482	1.20495	132	0	25
2021.02.09	00:55:00	1.20494	1.20505	1.20484	1.20489	185	0	22
2021.02.09	01:00:00	1.20487	1.20518	1.20487	1.20515	136	0	2
2021.02.09	01:05:00	1.20515	1.20516	1.20494	1.20498	45	0	1
2021.02.09	01:10:00	1.20498	1.20507	1.20494	1.20501	75	0	3
2021.02.09	01:15:00	1.20500	1.20504	1.20491	1.20500	57	0	1
2021.02.09	01:20:00	1.20501	1.20504	1.20486	1.20488	150	0	0
2021.02.09	01:25:00	1.20488	1.20495	1.20472	1.20476	228	0	0
2021.02.09	01:30:00	1.20482	1.20493	1.20479	1.20488	147	0	0
2021.02.09	01:35:00	1.20488	1.20503	1.20484	1.20494	148	0	0
2021.02.09	01:40:00	1.20494	1.20510	1.20491	1.20506	158	0	0
2021.02.09	01:45:00	1.20506	1.20519	1.20506	1.20516	206	0	0
2021.02.09	01:50:00	1.20517	1.20529	1.20504	1.20523	170	0	0
2021.02.09	01:55:00	1.20523	1.20538	1.20517	1.20523	129	0	0
2021.02.09	02:00:00	1.20524	1.20530	1.20497	1.20498	314	0	0
2021.02.09	02:05:00	1.20498	1.20537	1.20495	1.20527	305	0	0
2021.02.09	02:10:00	1.20528	1.20550	1.20525	1.20539	266	0	0
2021.02.09	02:15:00	1.20540	1.20551	1.20535	1.20542	350	0	0
2021.02.09	02:20:00	1.20542	1.20559	1.20536	1.20557	280	0	0
2021.02.09	02:25:00	1.20558	1.20560	1.20537	1.20551	229	0	0
2021.02.09	02:30:00	1.20552	1.20583	1.20549	1.20577	350	0	0
2021.02.09	02:35:00	1.20578	1.20578	1.20556	1.20570	204	0	0
2021.02.09	02:40:00	1.20570	1.20572	1.20551	1.20567	183	0	0
2021.02.09	02:45:00	1.20568	1.20570	1.20548	1.20561	153	0	0
2021.02.09	02:50:00	1.20561	1.20583	1.20556	1.20573	254	0	0
2021.02.09	02:55:00	1.20573	1.20600	1.20573	1.20578	259	0	0
2021.02.09	03:00:00	1.20578	1.20608	1.20572	1.20587	337	0	0
2021.02.09	03:05:00	1.20587	1.20587	1.20563	1.20566	208	0	0
2021.02.09	03:10:00	1.20567	1.20578	1.20559	1.20563	225	0	0
2021.02.09	03:15:00	1.20563	1.20601	1.20561	1.20597	271	0	0
2021.02.09	03:20:00	1.20597	1.20611	1.20586	1.20606	288	0	0
2021.02.09	03:25:00	1.20607	1.20640	1.20606	1.20628	229	0	0
2021.02.09	03:30:00	1.20627	1.20635	1.20600	1.20608	299	0	0
2021.02.09	03:35:00	1.20607	1.20614	1.20596	1.20607	230	0	0
2021.02.09	03:40:00	1.20606	1.20606	1.20581	1.20596	152	0	0
2021.02.09	03:45:00	1.20596	1.20611	1.20592	1.20600	159	0	0
2021.02.09	03:50:00	1.20599	1.20607	1.20591	1.20603	277	0	0
2021.02.09	03:55:00	1.20602	1.20611	1.20594	1.20595	231	0	0
2021.02.09	04:00:00	1.20596	1.20634	1.20595	1.20625	272	0	0
2021.02.09	04:05:00	1.20625	1.20627	1.20606	1.20611	221	0	0
2021.02.09	04:10:00	1.20612	1.20722	1.20612	1.20716	454	0	0
2021.02.09	04:15:00	1.20716	1.20732	1.20697	1.20722	334	0	0
2021.02.09	04:20:00	1.20722	1.20757	1.20706	1.20751	182	0	0
2021.02.09	04:25:00	1.20751	1.20781	1.20750	1.20769	288	0	0
2021.02.09	04:30:00	1.20769	1.20771	1.20751	1.20766	231	0	0
2021.02.09	04:35:00	1.20765	1.20800	1.20759	1.20797	254	0	0
2021.02.09	04:40:00	1.20797	1.20797	1.20754	1.20757	180	0	0
2021.02.09	04:45:00	1.20757	1.20781	1.20755	1.20775	216	0	0
2021.02.09	04:50:00	1.20775	1.20806	1.20775	1.20804	371	0	0
2021.02.09	04:55:00	1.20804	1.20821	1.20784	1.20795	355	0	0
2021.02.09	05:00:00	1.20796	1.20799	1.20765	1.20786	280	0	0
2021.02.09	05:05:00	1.20786	1.20794	1.20783	1.20788	172	0	0
