<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.15	01:07:00	1.19488	1.19493	1.19487	1.19491	29	0	1
2021.03.15	01:08:00	1.19495	1.19517	1.19495	1.19512	74	0	1
2021.03.15	01:09:00	1.19512	1.19522	1.19511	1.19518	66	0	1
2021.03.15	01:10:00	1.19518	1.19530	1.19518	1.19525	62	0	1
2021.03.15	01:11:00	1.19525	1.19526	1.19514	1.19514	43	0	1
2021.03.15	01:12:00	1.19515	1.19518	1.19502	1.19509	42	0	1
2021.03.15	01:13:00	1.19509	1.19515	1.19507	1.19509	62	0	1
2021.03.15	01:14:00	1.19509	1.19514	1.19499	1.19510	94	0	1
2021.03.15	01:15:00	1.19510	1.19519	1.19505	1.19518	32	0	1
2021.03.15	01:16:00	1.19517	1.19528	1.19517	1.19527	32	0	1
2021.03.15	01:17:00	1.19528	1.19528	1.19516	1.19520	34	0	1
2021.03.15	01:18:00	1.19519	1.19519	1.19503	1.19504	23	0	1
2021.03.15	01:19:00	1.19504	1.19504	1.19483	1.19488	40	0	1
2021.03.15	01:20:00	1.19490	1.19499	1.19487	1.19493	46	0	1
2021.03.15	01:21:00	1.19489	1.19498	1.19489	1.19495	28	0	1
2021.03.15	01:22:00	1.19495	1.19499	1.19493	1.19494	15	0	1
2021.03.15	01:23:00	1.19494	1.19494	1.19484	1.19485	18	0	1
2021.03.15	01:24:00	1.19485	1.19489	1.19482	1.19487	15	0	1
2021.03.15	01:25:00	1.19487	1.19489	1.19485	1.19489	13	0	1
2021.03.15	01:26:00	1.19486	1.19489	1.19486	1.19489	4	0	1
2021.03.15	01:27:00	1.19485	1.19499	1.19485	1.19492	23	0	1
2021.03.15	01:28:00	1.19492	1.19499	1.19492	1.19496	11	0	1
2021.03.15	01:29:00	1.19494	1.19494	1.19488	1.19488	11	0	1
2021.03.15	01:30:00	1.19488	1.19490	1.19483	1.19490	15	0	1
2021.03.15	01:31:00	1.19490	1.19493	1.19488	1.19492	15	0	1
2021.03.15	01:32:00	1.19492	1.19492	1.19478	1.19480	15	0	1
2021.03.15	01:33:00	1.19482	1.19495	1.19482	1.19492	34	0	1
2021.03.15	01:34:00	1.19495	1.19499	1.19489	1.19489	29	0	2
2021.03.15	01:35:00	1.19489	1.19490	1.19477	1.19478	29	0	1
2021.03.15	01:36:00	1.19478	1.19483	1.19472	1.19475	30	0	1
2021.03.15	01:37:00	1.19475	1.19475	1.19469	1.19472	23	0	1
2021.03.15	01:38:00	1.19473	1.19481	1.19454	1.19454	60	0	1
2021.03.15	01:39:00	1.19455	1.19467	1.19449	1.19466	44	0	1
2021.03.15	01:40:00	1.19466	1.19468	1.19462	1.19462	20	0	1
2021.03.15	01:41:00	1.19462	1.19482	1.19462	1.19482	27	0	1
2021.03.15	01:42:00	1.19482	1.19482	1.19475	1.19476	11	0	1
2021.03.15	01:43:00	1.19476	1.19481	1.19475	1.19480	11	0	2
2021.03.15	01:44:00	1.19480	1.19481	1.19477	1.19481	8	0	1
2021.03.15	01:45:00	1.19481	1.19484	1.19476	1.19476	28	0	2
2021.03.15	01:46:00	1.19476	1.19476	1.19465	1.19470	57	0	1
2021.03.15	01:47:00	1.19469	1.19473	1.19465	1.19465	66	0	1
2021.03.15	01:48:00	1.19466	1.19476	1.19465	1.19473	43	0	2
2021.03.15	01:49:00	1.19473	1.19485	1.19473	1.19482	22	0	1
2021.03.15	01:50:00	1.19482	1.19489	1.19482	1.19486	26	0	1
2021.03.15	01:51:00	1.19487	1.19488	1.19486	1.19488	8	0	2
2021.03.15	01:52:00	1.19487	1.19499	1.19485	1.19498	24	0	1
2021.03.15	01:53:00	1.19498	1.19506	1.19497	1.19505	23	0	1
2021.03.15	01:54:00	1.19504	1.19509	1.19503	1.19504	16	0	1
2021.03.15	01:55:00	1.19502	1.19502	1.19491	1.19499	28	0	1
2021.03.15	01:56:00	1.19499	1.19499	1.19493	1.19493	5	0	1
2021.03.15	01:57:00	1.19492	1.19494	1.19492	1.19493	5	0	1
2021.03.15	01:58:00	1.19493	1.19500	1.19490	1.19499	11	0	1
2021.03.15	01:59:00	1.19499	1.19502	1.19495	1.19501	19	0	1
2021.03.15	02:00:00	1.19501	1.19508	1.19499	1.19507	35	0	1
2021.03.15	02:01:00	1.19507	1.19529	1.19507	1.19527	48	0	1
2021.03.15	02:02:00	1.19525	1.19544	1.19525	1.19542	51	0	1
2021.03.15	02:03:00	1.19542	1.19549	1.19538	1.19539	52	0	1
2021.03.15	02:04:00	1.19540	1.19546	1.19533	1.19543	60	0	1
2021.03.15	02:05:00	1.19543	1.19546	1.19540	1.19542	45	0	1
2021.03.15	02:06:00	1.19542	1.19546	1.19540	1.19542	36	0	1
2021.03.15	02:07:00	1.19543	1.19545	1.19540	1.19544	26	0	1
2021.03.15	02:08:00	1.19544	1.19549	1.19544	1.19548	31	0	1
2021.03.15	02:09:00	1.19547	1.19549	1.19540	1.19548	35	0	1
2021.03.15	02:10:00	1.19546	1.19553	1.19543	1.19553	34	0	1
2021.03.15	02:11:00	1.19553	1.19555	1.19536	1.19538	33	0	1
2021.03.15	02:12:00	1.19544	1.19559	1.19543	1.19547	34	0	1
2021.03.15	02:13:00	1.19548	1.19548	1.19526	1.19528	32	0	1
2021.03.15	02:14:00	1.19528	1.19542	1.19526	1.19539	38	0	1
2021.03.15	02:15:00	1.19539	1.19542	1.19531	1.19534	18	0	1
2021.03.15	02:16:00	1.19532	1.19543	1.19532	1.19538	10	0	1
2021.03.15	02:17:00	1.19537	1.19547	1.19536	1.19540	13	0	1
2021.03.15	02:18:00	1.19542	1.19553	1.19542	1.19548	47	0	1
2021.03.15	02:19:00	1.19547	1.19554	1.19542	1.19551	33	0	1
2021.03.15	02:20:00	1.19549	1.19549	1.19537	1.19537	25	0	2
2021.03.15	02:21:00	1.19538	1.19538	1.19528	1.19528	28	0	1
2021.03.15	02:22:00	1.19529	1.19538	1.19528	1.19538	37	0	1
2021.03.15	02:23:00	1.19538	1.19544	1.19533	1.19539	22	0	1
2021.03.15	02:24:00	1.19539	1.19548	1.19539	1.19547	14	0	1
2021.03.15	02:25:00	1.19547	1.19552	1.19544	1.19552	17	0	1
2021.03.15	02:26:00	1.19552	1.19558	1.19549	1.19557	62	0	1
2021.03.15	02:27:00	1.19556	1.19558	1.19544	1.19550	74	0	1
2021.03.15	02:28:00	1.19550	1.19551	1.19542	1.19543	32	0	1
2021.03.15	02:29:00	1.19542	1.19543	1.19535	1.19535	23	0	1
2021.03.15	02:30:00	1.19538	1.19542	1.19530	1.19538	68	0	1
2021.03.15	02:31:00	1.19538	1.19541	1.19534	1.19537	31	0	1
2021.03.15	02:32:00	1.19537	1.19561	1.19537	1.19558	44	0	1
